"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","484.358874565614","517.750457547751","541.041885642486","566.703472043527","586.415869832187","606.785208628343","611.207356404143","628.820809485204","662.580243312366","695.192500140929","716.256335547689","722.787182495076","723.771543212554","758.158510700331","774.11442183531","782.868072374685","775.291237347978","781.927629494591","780.149486716369","665.40305144465","652.787034158317","625.642023177861","623.022986401329","626.902539042864","639.069617269206","706.112660827831","714.147532021971","680.224675554207","660.339814564711","668.783360793198","637.434476993485","658.582962136586","663.520508827763","666.124488185369","668.642063334973","674.530559725657","681.946381697062","651.430356985593","619.994214021894","634.86034996756","636.864902252909","608.999899242723","602.67001551757","591.416869783805","582.708405096372","568.70345182297","566.073367993878","568.141298635339","548.496602112228","512.766660655158","513.745842368759","497.161667682854","","",
"Afghanistan","AFG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","72.9534438266965","79.8728566614097","87.2044505576088","88.3417979499402","95.9069998277798","101.579328524216","108.953543428468","105.036934736798","112.21857409135","118.394491516176","111.021019271302","128.222296707002","109.044421415917","87.8921207416381","108.216986157745","123.357269001962","126.692593430779","127.443654619402","131.749685148442","127.328868888208","128.089716202611","130.803766500589","125.194880977318","125.828808499006","129.334999288428","130.068244893409","131.530193866085","117.945513825786","125.802064827078","117.783419803974","120.442446686121","136.29538360037","122.89251650092","135.895531952181","134.459038768033","140.164595297373","140.648668156225","137.948378380043","135.529006148218","154.782989566006","156.831015713278","168.95063583861","174.82389533979","195.756413228987","201.734660192319","215.380351281936","179.97242248386","182.920553801684","188.361690483295","193.378592547306","200.861530997543","203.999367731778","","",
"Angola","AGO","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","92.8042954367994","101.712560950604","115.519568827123","139.414612859078","143.067014840244","62.0524169063011","59.9904698510993","57.9405321606909","60.148789244377","62.2089946829751","59.9838280754426","61.7026644581683","64.6263457720883","53.2574178194016","61.7642487258567","59.5693060274472","57.821319358673","56.2548227462094","54.6333240854123","54.1872090662942","55.4745615867022","54.4925703364663","53.0126173927381","51.6235609932373","50.1467979992085","51.9371535038561","70.3254403542383","74.2774930620468","72.8271453131328","76.1969732512193","83.596023886489","86.9705781477391","96.8027128389042","88.8689466900833","102.378493445781","129.55102949102","135.187417453981","168.453501851714","197.325219398831","206.998764747106","206.950497705211","271.711996881012","276.087476620084","310.374128214116","306.167406982606","331.664900231538","315.199297075801","370.736573340292","410.864566288621","437.653350565236","392.355834569297","392.507046928459","","",
"Albania","ALB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","532.02843152625","568.403201603477","593.446745665183","591.032643383924","739.345093272667","908.67454726938","1067.81415577833","1098.48316581368","1065.76739836628","1142.96535512577","1123.96810630449","1096.87322889453","1070.69016441863","1018.1002875264","796.353973775973","1420.61479470727","1161.95167669011","1005.93953033667","1021.39350044285","552.252184819181","418.45358899715","453.64407387777","536.363825095196","596.407959255952","663.783995402449","904.346640328557","694.664802792381","734.849913537668","1414.70378393053","1449.64741324695","1351.23079642883","1578.16591882688","1469.26453867857","1797.52548696885","1722.07284972507","1218.36014605619","1213.12436932179","1617.7441562046","1835.68407241763","1943.34335385842","2205.70392004668","2118.32777605579","2533.25282927106","2309.36650255581","2098.09897098035","1994.36667905612","2145.15129337241","2276.74247900485","2297.67384172958","2354.60026238182","2509.89982451685","2507.48013906524","","",
"Andorra","AND","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","199.557374288469","214.341739387395","233.637716886245","258.035567152789","285.141903952494","327.586766408974","370.986287234582","427.811198817165","515.237108548658","576.260904175986","622.294420780727","711.580944410632","767.685333464292","853.459115802257","880.438490346064","957.606925015817","995.157742644612","1031.30604698253","1050.91030356138","1070.43321142803","1038.30767778843","1133.10819225339","1198.40481724642","1230.24954116786","1257.55746906298","1293.9723293449","1331.85978757047","1421.85826254793","1465.79067227911","1492.31576102675","1553.83090814721","1617.1471504496","1680.89399813913","1718.91169640497","1793.47581542843","1892.04427138593","1947.84867288625","1989.6635783874","2053.57898479859","2265.83948281299","2269.20906703996","2406.18426710369","2447.9083135259","2570.54529395093","2602.12540521734","2580.02714403268","2638.05673997596","2637.60205036402","2641.14760590442","2556.5686868903","2653.30253748588","2651.98787602134","","",
"United Arab Emirates","ARE","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","564.133636990451","1129.82904517758","1537.58372498562","1793.13700834412","2345.0049368525","2930.83235638921","3869.28354892715","4326.0996893512","5089.85647087203","5774.34281776115","6100.80419691687","7107.52162692799","7634.55179085327","7833.1020921963","8099.94259426044","8121.26077513505","8067.99962394648","8206.14726707528","7937.53223033649","8188.19736384613","7868.93023413431","8042.16141067654","8898.81746623566","9277.60129336634","9624.74462574271","9595.14375776689","9455.13787485669","10301.5338994172","10662.5548184344","10724.5443421137","10875.2574800126","11107.3875879303","11063.4408414922","11101.0084292793","12205.0510312361","12502.6451857619","13134.3633853575","11974.777649578","11984.8374652493","12827.3767154335","13085.7207041471","13475.0322264325","13409.1491377066","13560.3714401993","14046.2870111674","13705.6181271716","13672.1157729536","13702.8027322154","13914.1426572805","13855.0657916711","14828.6941032372","14687.9739775088","","",
"Argentina","ARG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","874.544176724708","925.649098648582","962.668497431027","993.270152868165","1011.66776499765","1031.79773233551","1080.11424695821","1090.55092484719","1212.85238309334","1238.52278891927","1192.31481467494","1203.2459116848","1253.63491521922","1295.31123919415","1283.76957600267","1325.49092917755","1408.99703890117","1447.20673650145","1315.33167231406","1306.11580490489","1346.87342820379","1414.09950938054","1504.50694742676","1595.44727805699","1671.02841686432","1732.5099574692","1837.41471068417","1956.54122331871","2018.66128371486","2091.79431043986","2093.11272544125","2027.03969505237","2142.62949662924","2257.01230392193","2369.54636954086","2502.54182544269","2596.61182489948","2702.5677820099","2680.09920295595","2777.73377864652","2880.78357735056","2917.62283612664","2940.92954480901","3036.20733612121","3140.46420669387","3104.98925144338","3005.76483124641","2971.34364838317","2876.71852724712","2827.42739776861","2942.91077511635","2833.11909750338","","",
